"business_id","Score","date","type"
470,"89","20130416","routine"
470,"94","20130102","routine"
470,"91","20120419","routine"
472,"88","20140625","routine"
472,"77","20140210","routine"
472,"90","20130314","routine"
472,"77","20120522","routine"
472,"86","20111107","routine"
473,"92","20140827","routine"
473,"82","20140204","routine"
473,"92","20130607","routine"
473,"70","20121106","routine"
473,"83","20120522","routine"
473,"96","20111026","routine"
475,"94","20140811","routine"
475,"92","20140205","routine"
475,"83","20130208","routine"
475,"94","20120829","routine"
475,"86","20111122","routine"
477,"83","20140604","routine"
477,"87","20131120","routine"
477,"90","20130226","routine"
477,"92","20120612","routine"
477,"86","20120130","routine"
479,"98","20130122","routine"
479,"84","20120326","routine"
479,"98","20110927","routine"
480,"72","20140806","routine"
480,"88","20130314","routine"
480,"89","20120904","routine"
480,"90","20111115","routine"
483,"98","20130328","routine"
483,"90","20120910","routine"
483,"94","20111107","routine"
484,"86","20140822","routine"
484,"89","20130122","routine"
484,"90","20120524","routine"
484,"96","20110927","routine"
485,"90","20140205","routine"
485,"92","20130415","routine"
485,"94","20120829","routine"
485,"96","20120130","routine"
486,"98","20130328","routine"
486,"100","20120912","routine"
486,"98","20111129","routine"
488,"90","20130521","routine"
488,"98","20121019","routine"
488,"98","20120302","routine"
489,"83","20140617","routine"
489,"77","20130923","routine"
489,"64","20120719","routine"
489,"71","20111025","routine"
493,"86","20140514","routine"
493,"74","20121128","routine"
493,"79","20111102","routine"
494,"89","20130109","routine"
494,"86","20111207","routine"
495,"81","20140408","routine"
495,"86","20131009","routine"
495,"78","20130117","routine"
495,"86","20120524","routine"
495,"84","20111118","routine"
496,"84","20140508","routine"
496,"88","20121101","routine"
496,"87","20111215","routine"
500,"81","20140811","routine"
500,"77","20140327","routine"
500,"88","20130820","routine"
500,"72","20130110","routine"
500,"89","20120608","routine"
500,"81","20120124","routine"
500,"68","20110928","routine"
502,"92","20140421","routine"
502,"100","20130625","routine"
502,"92","20121116","routine"
502,"94","20120430","routine"
502,"100","20111028","routine"
503,"90","20140210","routine"
503,"83","20130716","routine"
503,"92","20120530","routine"
503,"94","20111101","routine"
505,"94","20140604","routine"
505,"100","20131112","routine"
505,"98","20130204","routine"
505,"88","20120620","routine"
505,"98","20111107","routine"
507,"94","20140825","routine"
507,"96","20140207","routine"
507,"100","20130808","routine"
507,"100","20130102","routine"
507,"96","20120727","routine"
507,"98","20111114","routine"
508,"100","20140424","routine"
508,"100","20131119","routine"
508,"100","20130206","routine"
508,"100","20120726","routine"
508,"98","20120109","routine"
509,"92","20140514","routine"
509,"90","20131113","routine"
509,"85","20130506","routine"
509,"89","20121029","routine"
509,"83","20120412","routine"
509,"92","20111013","routine"
510,"92","20140505","routine"
510,"79","20131118","routine"
510,"85","20130501","routine"
510,"92","20120829","routine"
510,"88","20120305","routine"
519,"98","20140609","routine"
519,"96","20130628","routine"
519,"92","20130111","routine"
519,"96","20120412","routine"
520,"90","20140611","routine"
520,"79","20131218","routine"
520,"82","20130515","routine"
520,"83","20120727","routine"
520,"90","20110906","routine"
521,"94","20140724","routine"
521,"89","20140129","routine"
521,"94","20130805","routine"
521,"83","20121204","routine"
521,"92","20120613","routine"
521,"89","20110920","routine"
522,"100","20140530","routine"
522,"98","20131115","routine"
522,"96","20130522","routine"
522,"100","20121017","routine"
522,"91","20120202","routine"
527,"88","20140604","routine"
527,"94","20140109","routine"
527,"86","20130618","routine"
527,"83","20130110","routine"
527,"80","20120131","routine"
529,"86","20140721","routine"
529,"92","20140114","routine"
529,"94","20120924","routine"
529,"94","20120214","routine"
538,"96","20140714","routine"
538,"92","20140224","routine"
538,"83","20130826","routine"
538,"86","20130212","routine"
538,"83","20120709","routine"
538,"78","20120109","routine"
539,"98","20140319","routine"
539,"96","20130925","routine"
539,"100","20130315","routine"
539,"91","20120913","routine"
539,"87","20120307","routine"
539,"92","20111006","routine"
542,"92","20140610","routine"
542,"88","20130625","routine"
542,"85","20121129","routine"
542,"96","20120229","routine"
544,"87","20140805","routine"
544,"92","20140226","routine"
544,"88","20121220","routine"
544,"96","20120123","routine"
547,"100","20140424","routine"
547,"100","20131119","routine"
547,"100","20130523","routine"
547,"98","20121206","routine"
547,"98","20120611","routine"
547,"90","20120109","routine"
549,"94","20140509","routine"
549,"96","20130614","routine"
549,"96","20121031","routine"
549,"100","20120320","routine"
551,"96","20140610","routine"
551,"83","20130925","routine"
551,"98","20120814","routine"
552,"83","20140805","routine"
552,"87","20140210","routine"
552,"81","20130627","routine"
552,"83","20121016","routine"
552,"88","20120313","routine"
557,"92","20130814","routine"
557,"92","20130214","routine"
558,"96","20140211","routine"
558,"88","20130508","routine"
558,"94","20120621","routine"
562,"100","20140402","routine"
562,"100","20131003","routine"
562,"93","20130328","routine"
562,"100","20121015","routine"
562,"100","20120404","routine"
562,"91","20111031","routine"
567,"100","20131003","routine"
567,"94","20130301","routine"
567,"100","20120427","routine"
567,"90","20110927","routine"
573,"94","20130917","routine"
573,"96","20120504","routine"
580,"96","20140811","routine"
580,"96","20140129","routine"
580,"94","20130516","routine"
580,"98","20121024","routine"
580,"93","20120411","routine"
580,"96","20111026","routine"
587,"90","20140626","routine"
587,"88","20130927","routine"
587,"84","20130221","routine"
587,"84","20111003","routine"
588,"90","20140812","routine"
588,"85","20140310","routine"
588,"89","20130626","routine"
588,"96","20120918","routine"
588,"76","20120223","routine"
589,"84","20140423","routine"
589,"76","20131113","routine"
589,"90","20130506","routine"
