"name","species","gender","weight","(in lbs)"
"English Toy Spaniel","dog","male",11,
"English Toy Spaniel","dog","female",11,
"Entlebucher Mountain Dog","dog",,57.5,
"Entlebucher Mountain Dog","dog","male",57.5,
"Entlebucher Mountain Dog","dog","female",57.5,
"Eskapoo","dog",,14,
"Eskapoo","dog","male",14,
"Eskapoo","dog","female",14,
"Eskimo Dog","dog",,20.5,
"Eskimo Dog","dog","male",20.5,
"Eskimo Dog","dog","female",20.5,
"Estrela Mountain Dog","dog",,83.75,
"Estrela Mountain Dog","dog","male",92.5,
"Estrela Mountain Dog","dog","female",75,
"Field Spaniel","dog",,42.5,
"Field Spaniel","dog","male",42.5,
"Field Spaniel","dog","female",42.5,
"Fila Brasileiro","dog",,151.25,
"Fila Brasileiro","dog","male",160,
"Fila Brasileiro","dog","female",142.5,
"Finnish Lapphund","dog",,45.5,
"Finnish Lapphund","dog","male",45.5,
"Finnish Lapphund","dog","female",45.5,
"Finnish Spitz","dog",,25,
"Finnish Spitz","dog","male",25,
"Finnish Spitz","dog","female",25,
"Flat Coated Retriever","dog",,65,
"Flat Coated Retriever","dog","male",65,
"Flat Coated Retriever","dog","female",65,
"Fox Terrier, Smooth","dog",,17,
"Fox Terrier, Smooth","dog","male",18,
"Fox Terrier, Smooth","dog","female",16,
"Fox Terrier, Toy","dog",,5.25,
"Fox Terrier, Toy","dog","male",5.25,
"Fox Terrier, Toy","dog","female",5.25,
"Fox Terrier, Wire","dog",,17,
"Fox Terrier, Wire","dog","male",18,
"Fox Terrier, Wire","dog","female",16,
"French Bulldog","dog",,28,
"French Bulldog","dog","male",28,
"French Bulldog","dog","female",28,
"German Hovawart","dog",,72.5,
"German Hovawart","dog","male",72.5,
"German Hovawart","dog","female",72.5,
"German Pinscher","dog",,30,
"German Pinscher","dog","male",30,
"German Pinscher","dog","female",30,
"German Shepherd","dog",,85,
"German Shepherd","dog","male",85,
"German Shepherd","dog","female",85,
"German Shorthaired Pointer","dog",,57.5,
"German Shorthaired Pointer","dog","male",62.5,
"German Shorthaired Pointer","dog","female",52.5,
"German Wirehaired Pointer","dog",,60,
"German Wirehaired Pointer","dog","male",60,
"German Wirehaired Pointer","dog","female",60,
"Glen of Imaal Terrier","dog",,35,
"Glen of Imaal Terrier","dog","male",35,
"Glen of Imaal Terrier","dog","female",35,
"Goldador","dog",,70,
"Goldador","dog","male",70,
"Goldador","dog","female",70,
"Golden Retriever","dog",,65,
"Golden Retriever","dog","male",70,
"Golden Retriever","dog","female",60,
"Goldendoodle","dog",,100,
"Goldendoodle","dog","male",150,
"Goldendoodle","dog","female",50,
"Gordon Setter","dog",,62.5,
"Gordon Setter","dog","male",67.5,
"Gordon Setter","dog","female",57.5,
"Great Dane","dog",,110,
"Great Dane","dog","male",110,
"Great Dane","dog","female",110,
"Great Pyrenees","dog",,92.5,
"Great Pyrenees","dog","male",100,
"Great Pyrenees","dog","female",85,
"Greater Swiss Mountain Dog","dog",,110,
"Greater Swiss Mountain Dog","dog","male",122.5,
"Greater Swiss Mountain Dog","dog","female",97.5,
"Greyhound","dog",,65,
"Greyhound","dog","male",67.5,
"Greyhound","dog","female",62.5,
"Harrier","dog",,50,
"Harrier","dog","male",50,
"Harrier","dog","female",50,
"Havanese","dog",,10,
"Havanese","dog","male",10,
"Havanese","dog","female",10,
"Hovawart","dog",,72.5,
"Hovawart","dog","male",72.5,
"Hovawart","dog","female",72.5,
"Hunt Terrier","dog",,12,
"Hunt Terrier","dog","male",12,
"Hunt Terrier","dog","female",12,
"ibizan Hound","dog",,47.5,
"ibizan Hound","dog","male",50,
"ibizan Hound","dog","female",45,
"Iceland Sheepdog","dog",,25,
"Iceland Sheepdog","dog","male",27.5,
"Iceland Sheepdog","dog","female",22.5,
"Illyrian Sheepdog","dog",,82.5,
"Illyrian Sheepdog","dog","male",88,
"Illyrian Sheepdog","dog","female",77,
"Irish Setter","dog",,65,
"Irish Setter","dog","male",70,
"Irish Setter","dog","female",60,
"Irish Terrier","dog",,26,
"Irish Terrier","dog","male",27,
"Irish Terrier","dog","female",25,
"Irish Water Spaniel","dog",,55.75,
"Irish Water Spaniel","dog","male",60,
"Irish Water Spaniel","dog","female",51.5,
"Irish Wolfhound","dog",,112.5,
"Irish Wolfhound","dog","male",120,
"Irish Wolfhound","dog","female",105,
"Italian Greyhound","dog",,10.5,
"Italian Greyhound","dog","male",10.5,
"Italian Greyhound","dog","female",10.5,
"Italian Spinone","dog",,75,
"Italian Spinone","dog","male",80.5,
"Italian Spinone","dog","female",69.5,
"Jack Russell Terrier","dog",,15,
"Jack Russell Terrier","dog","male",15,
"Jack Russell Terrier","dog","female",15,
"Japanese Chin","dog",,5.5,
"Japanese Chin","dog","male",5.5,
"Japanese Chin","dog","female",5.5,
"Jindo","dog",,37.5,
"Jindo","dog","male",42.5,
"Jindo","dog","female",32.5,
"Kai Dog","dog",,40,
"Kai Dog","dog","male",40,
"Kai Dog","dog","female",40,
"Karelian Bear Dog","dog",,46.5,
"Karelian Bear Dog","dog","male",46.5,
"Karelian Bear Dog","dog","female",46.5,
"Keeshond","dog",,40,
"Keeshond","dog","male",45,
"Keeshond","dog","female",35,
"Kerry Blue Terrier","dog",,34.5,
"Kerry Blue Terrier","dog","male",36.5,
"Kerry Blue Terrier","dog","female",32.5,
"Kishu Ken","dog",,45,
"Kishu Ken","dog","male",45,
"Kishu Ken","dog","female",45,
"Komondor","dog",,75,
"Komondor","dog","male",80,
"Komondor","dog","female",70,
"Kooikerhondje","dog",,22,
"Kooikerhondje","dog","male",22,
"Kooikerhondje","dog","female",22,
"Kuvasz","dog",,93.75,
"Kuvasz","dog","male",107.5,
"Kuvasz","dog","female",80,
"Labradoodle","dog",,57.5,
"Labradoodle","dog","male",57.5,
"Labradoodle","dog","female",57.5,
"Labrador Retriever","dog",,67.5,
"Labrador Retriever","dog","male",72.5,
"Labrador Retriever","dog","female",62.5,
"Lagotto Romagnolo","dog",,29.75,
"Lagotto Romagnolo","dog","male",31.5,
"Lagotto Romagnolo","dog","female",28,
"Lakeland Terrier","dog",,15.75,
"Lakeland Terrier","dog","male",14.5,
"Lakeland Terrier","dog","female",17,
"Lancashire Heeler","dog",,19,
"Lancashire Heeler","dog","male",20,
"Lancashire Heeler","dog","female",18,
"Leonberger","dog",,132.5,
"Leonberger","dog","male",150,
"Leonberger","dog","female",115,
"Lhasa Apso","dog",,14,
"Lhasa Apso","dog","male",14,
"Lhasa Apso","dog","female",14,
"Lhasapoo","dog",,16,
"Lhasapoo","dog","male",16,
"Lhasapoo","dog","female",16,
"Lowchen","dog",,13,
"Lowchen","dog","male",13,
"Lowchen","dog","female",13,
"MalShi","dog",,10.5,
"MalShi","dog","male",10.5,
"MalShi","dog","female",10.5,
"Maltese","dog",,5.5,
"Maltese","dog","male",5.5,
"Maltese","dog","female",5.5,
